model,trained_target,r2,spearman_corr,mae,within_005,within_010,within_015,within_020,fixed_bin_acc,fixed_bin_adjacent_acc,fixed_bin_spearman,fixed_bin_kendall_tau,fixed_bin_qwk,train_quantile_bin_acc,train_quantile_adjacent_acc,train_quantile_bin_spearman,train_quantile_bin_kendall_tau,train_quantile_bin_qwk,n_eval,notes
MLP OneHot,raw,0.15448502889415516,0.3807069808432467,0.14119578601279817,0.21624208255028884,0.41845896846940905,0.5968713022899701,0.7410036890095357,0.4835734669729241,0.970122502958168,0.24600666658696774,0.23001037312015205,0.17786183425170676,0.30620519245493144,0.8417032087422566,0.32693919987648073,0.29114041752577935,0.285535924666381,57468,
MLP Per-Role + Interactions,raw,0.1543853731781898,0.3805705008131607,0.1411953704478296,0.21725133987610495,0.4176411220157305,0.5962100647316768,0.7413343077886824,0.4828774274378785,0.9702095079000487,0.2365614681219123,0.22146925583060056,0.1656626512892717,0.3038734600125287,0.8435999164752558,0.32514914802062517,0.2906520942933524,0.278811777508,57468,
HistGBT + Pair TE,raw,0.16144190004076442,0.388244347442618,0.1408179169790672,0.21645089441080254,0.41825015660889536,0.5980719704879237,0.741908540405095,0.4836430709264286,0.9710795573188558,0.23705329134239597,0.22200950519705245,0.16085788529905198,0.3017505394306397,0.847480336883135,0.3285407938380237,0.29474911645743507,0.2779058713669419,57468,OOF-smoothed pair target encodings fitted on train only.
HistGBT + Archetypes,raw,0.16112888849638762,0.38805376040217504,0.14089347607383773,0.21678151318994918,0.4181457506786386,0.5968365003132178,0.7405164613350038,0.4825816106354841,0.9711839632491126,0.2338198696880587,0.21900309513655633,0.15781304820577824,0.3024465789656853,0.8472367230458691,0.32807243469675906,0.29443236388505833,0.27760745754991434,57468,
HistGBT,raw,0.15989502069044081,0.3873645333226178,0.14080858296634544,0.21810398830653582,0.41845896846940905,0.5992900396742535,0.7414735156956915,0.483068838310016,0.9708359434815897,0.23138539100331423,0.21663038195811826,0.15378310274658769,0.30262058884944665,0.8472193220574928,0.32902681365490305,0.29515991746174886,0.2779538095901545,57468,
Champion Mean,raw,0.124915672103459,0.3360281143456512,0.14395040421097202,0.21272708289830863,0.4109069395141644,0.5842381847288926,0.72908401197188,0.47944943272777896,0.9678951764460222,0.2097749135082529,0.19651469557105727,0.1412575766526456,0.2916927681492309,0.8382926150205332,0.28789906445655034,0.2601819399709885,0.23401930498375834,57468,4 unseen support champions in test.
MLP Embed,raw,0.14958202299923895,0.37551919486550545,0.141562830674179,0.21613767662003203,0.4183545625391522,0.5950441985104754,0.7380629219739682,0.4818159671469339,0.9696178742952599,0.21740962802510896,0.20346342239305773,0.13886473783854025,0.29875756942994364,0.8439479362427786,0.31550968163374205,0.2833694203011755,0.26393702405030683,57468,
MLP Per-Role + Interactions (quantile->raw),quantile,0.1486936684042559,0.37915166716594845,0.1420821244184729,0.21323171156121667,0.41445674114289693,0.5902415257186608,0.7361662142409688,0.47974524953017333,0.9697222802255168,0.19287049989249755,0.18077429328633485,0.10214004555622391,0.29360687687060627,0.8490116238602352,0.3147772955515229,0.2852260571692281,0.2521652242731045,57468,Quantile predictions inverse-transformed to raw scale.
HistGBT + Archetypes (quantile->raw),quantile,0.15154176854474688,0.38725668534254587,0.14206082690387084,0.212274657200529,0.41468295399178673,0.5891104614742118,0.7359226004037029,0.47826616551820145,0.969878889120902,0.18420455904456112,0.17269051146677672,0.08885941380732598,0.2901614811721306,0.8520219948493074,0.3175504188439763,0.28822142849140664,0.25175848314443416,57468,Quantile predictions inverse-transformed to raw scale.
HistGBT + Pair TE (quantile->raw),quantile,0.15230253781299408,0.38841300512960497,0.14197705475487396,0.21368413725899632,0.4145785480615299,0.5904155356024222,0.7362532191828496,0.47831836848332987,0.9700180970279112,0.1842459306654784,0.1727547831058702,0.08726069446854623,0.29010927820700216,0.8521089997911881,0.3166960490858729,0.287655246471766,0.2502271688329437,57468,Quantile predictions inverse-transformed to raw scale. OOF-smoothed pair target encodings fitted on train only.
