model,trained_target,evaluation_scale,r2,spearman_corr,pearson_corr,rmse,mae,compression_ratio,pred_std,target_std,n_eval,notes
HistGBT,quantile,quantile,0.15648745370895822,0.38726236884853704,0.39623867234229215,0.2705900652542284,0.22974119290315664,0.38722054157259583,0.11408392701309003,0.294622611057171,57468,
HistGBT,quantile,quantile,0.15640966251597188,0.3872529445103713,0.3961629294129559,0.2706025422700055,0.22972359686152544,0.3878145302447473,0.11425892950661769,0.294622611057171,57468,
HistGBT,quantile,quantile,0.15599015967770413,0.3869525760820539,0.39565065753001105,0.2706698168820357,0.2298070095205167,0.3854088306543041,0.11355015601186212,0.294622611057171,57468,
MLP Per-Role + Interactions,quantile,quantile,0.150816332794949,0.3803755106463857,0.3885286544214694,0.2714981598293281,0.23013427127956837,0.39830019984936876,0.11734824486421407,0.294622611057171,57468,
MLP OneHot,quantile,quantile,0.14993446116965692,0.38004064548893396,0.3883220064041918,0.27163909777023354,0.230573681666729,0.3882435153785159,0.1143853182268333,0.294622611057171,57468,
MLP Per-Role + Interactions,quantile,quantile,0.14943825820266898,0.3793807224232534,0.38787685024733426,0.2717183672242388,0.23005114357721146,0.40788933007739303,0.12017341944976181,0.294622611057171,57468,
MLP OneHot,quantile,quantile,0.14503886204272443,0.37865653654732184,0.3870669422214972,0.27242017105411487,0.23125964163131846,0.37766950273800376,0.11126997501333406,0.294622611057171,57468,
MLP Per-Role + Interactions,quantile,quantile,0.14960621662574825,0.3786179434816637,0.3871219675406183,0.27169153810682306,0.23023422105354865,0.4016479736266576,0.11833457471570763,0.294622611057171,57468,
MLP Embed Shared,quantile,quantile,0.14895410795377095,0.3783369298446881,0.38725079628637793,0.2717956889480215,0.2311324794829994,0.36919103825648625,0.1087720276700339,0.294622611057171,57468,
MLP OneHot,quantile,quantile,0.1493515990057902,0.37813745758740586,0.38725332788894906,0.27173220883889615,0.23003364075356697,0.4078386073450272,0.12015847538591223,0.294622611057171,57468,
MLP Embed Shared,quantile,quantile,0.1481683602017373,0.37730339543109515,0.3852886966324639,0.27192113082027203,0.23114075727702382,0.3745897733391545,0.11036261709649557,0.294622611057171,57468,
MLP Embed Shared,quantile,quantile,0.1470644905558237,0.3759798346441064,0.38481171841437867,0.2720972620455591,0.2314781378591668,0.36609380129429697,0.10785951162917091,0.294622611057171,57468,
Champion Mean,quantile,quantile,0.12152654010774899,0.336140383409151,0.34927499736812884,0.27614068429142813,0.23499793318610157,0.353772985355639,0.1042295206669687,0.294622611057171,57468,Sample-weighted support-champion means. 4 unseen support champions in test.
Global Mean,quantile,quantile,-0.0007001218449371738,,,0.29472572887457665,0.25545993688185187,3.76828859347024e-16,1.1102230246251565e-16,0.294622611057171,57468,Sample-weighted train mean.
