model,trained_target,evaluation_scale,r2,spearman_corr,pearson_corr,rmse,mae,compression_ratio,pred_std,target_std,n_eval,notes
HistGBT + Pair TE (quantile->raw),quantile,raw,0.15230253781299408,0.38841300512960497,0.401680849335043,0.17542189822964757,0.14197705475487396,0.30732363502803856,0.05855437180746074,0.19052999878163798,57468,Quantile predictions inverse-transformed to raw scale. OOF-smoothed pair target encodings fitted on train only.
HistGBT + Pair TE,raw,raw,0.16144190004076442,0.388244347442618,0.40215668895834417,0.17447368905228638,0.1408179169790672,0.3862467183265208,0.07359158677216368,0.19052999878163798,57468,OOF-smoothed pair target encodings fitted on train only.
HistGBT + Archetypes,raw,raw,0.16112888849638762,0.38805376040217504,0.4019871787920651,0.17450624921924882,0.14089347607383773,0.3812960175916863,0.07264832976718741,0.19052999878163798,57468,
HistGBT,raw,raw,0.15989502069044081,0.3873645333226178,0.40062271537001276,0.1746345398005847,0.14080858296634544,0.39152404562139576,0.0745970759352265,0.19052999878163798,57468,
HistGBT + Archetypes (quantile->raw),quantile,raw,0.15154176854474688,0.38725668534254587,0.4006958062477906,0.17550059709685908,0.14206082690387084,0.306468316717399,0.05839140801077667,0.19052999878163798,57468,Quantile predictions inverse-transformed to raw scale.
HistGBT (quantile->raw),quantile,raw,0.1511359996327012,0.3870846876351309,0.39991770153158207,0.17554255801579827,0.14192613577396004,0.3124129716693039,0.05952404311152037,0.19052999878163798,57468,Quantile predictions inverse-transformed to raw scale.
MLP OneHot,raw,raw,0.15448502889415516,0.3807069808432467,0.39397523185250843,0.1751959311305793,0.14119578601279817,0.41913683000228763,0.07985813970967547,0.19052999878163798,57468,
MLP Per-Role + Interactions,raw,raw,0.1543853731781898,0.3805705008131607,0.3930804980914005,0.17520625546670773,0.1411953704478296,0.4030500033613253,0.0767931166493725,0.19052999878163798,57468,
MLP Per-Role + Interactions (quantile->raw),quantile,raw,0.1486936684042559,0.37915166716594845,0.39140084176014533,0.17579491005857686,0.1420821244184729,0.32798270245429106,0.06249054389901441,0.19052999878163798,57468,Quantile predictions inverse-transformed to raw scale.
MLP OneHot (quantile->raw),quantile,raw,0.14031187817050716,0.3785948608307316,0.39052009129525067,0.1766582108848836,0.1427215332041641,0.3036774419393794,0.0578596626427209,0.19052999878163798,57468,Quantile predictions inverse-transformed to raw scale.
MLP Embed (quantile->raw),quantile,raw,0.14669136472386457,0.3772014088990427,0.38889155587515606,0.17600152667191266,0.14215069274553452,0.32557829257867815,0.06203243168834332,0.19052999878163798,57468,Quantile predictions inverse-transformed to raw scale.
MLP Embed,raw,raw,0.14958202299923895,0.37551919486550545,0.38753526210613326,0.17570316342593958,0.141562830674179,0.3805830593935954,0.07251248984257379,0.19052999878163798,57468,
Champion Mean (quantile->raw),quantile,raw,0.11846675198861667,0.3361797714129618,0.3533263657781919,0.17888861971288506,0.14482769488093034,0.27476286228500796,0.052350567816401926,0.19052999878163798,57468,Quantile predictions inverse-transformed to raw scale. 4 unseen support champions in test.
Champion Mean,raw,raw,0.124915672103459,0.3360281143456512,0.3535074016371486,0.17823308229847973,0.14395040421097202,0.3472751590545441,0.06616633563155543,0.19052999878163798,57468,4 unseen support champions in test.
ICC Ceiling (botlane+side),reference,raw,0.17263311556242522,,,,,,,,57468,Reference from empirical ceiling analysis on train.
Global Mean,raw,raw,-1.8017042613394096e-07,,,0.19053001594557276,0.1551515212239789,2.9135123910265634e-16,5.551115123125783e-17,0.19052999878163798,57468,
Global Mean (quantile->raw),quantile,raw,-0.0002652251458150623,,,0.19055526377987536,0.15512726721005998,0.0,0.0,0.19052999878163798,57468,Quantile predictions inverse-transformed to raw scale.
