model_key,model,comparison_role,feature_protocol_id,manifest_feature_protocol_id,feature_count,input_feature_columns,matches_main_feature_protocol,sample_weight_column,used_sample_weight,has_manifest,notes
global_mean,Global Mean,baseline_no_features,baseline_no_features,baseline_no_features,0,,False,sample_weight,True,True,
champion_mean,Champion Mean,baseline_support_champion_only,baseline_support_champion_only,baseline_support_champion_only,1,ally_utility_champion_id,False,sample_weight,True,True,
gbt,HistGBT,main_learned_model,draft_10_champions_side,draft_10_champions_side,11,"ally_top_champion_id, ally_jungle_champion_id, ally_middle_champion_id, ally_bottom_champion_id, ally_utility_champion_id, enemy_top_champion_id, enemy_jungle_champion_id, enemy_middle_champion_id, enemy_bottom_champion_id, enemy_utility_champion_id, side",True,sample_weight,True,True,
mlp_onehot,MLP OneHot,main_learned_model,draft_10_champions_side,draft_10_champions_side,11,"ally_top_champion_id, ally_jungle_champion_id, ally_middle_champion_id, ally_bottom_champion_id, ally_utility_champion_id, enemy_top_champion_id, enemy_jungle_champion_id, enemy_middle_champion_id, enemy_bottom_champion_id, enemy_utility_champion_id, side",True,sample_weight,True,True,
mlp_embed,MLP Embed Shared,main_learned_model,draft_10_champions_side,draft_10_champions_side,11,"ally_top_champion_id, ally_jungle_champion_id, ally_middle_champion_id, ally_bottom_champion_id, ally_utility_champion_id, enemy_top_champion_id, enemy_jungle_champion_id, enemy_middle_champion_id, enemy_bottom_champion_id, enemy_utility_champion_id, side",True,sample_weight,True,True,
mlp_per_role,MLP Per-Role + Interactions,main_learned_model,draft_10_champions_side,draft_10_champions_side,11,"ally_top_champion_id, ally_jungle_champion_id, ally_middle_champion_id, ally_bottom_champion_id, ally_utility_champion_id, enemy_top_champion_id, enemy_jungle_champion_id, enemy_middle_champion_id, enemy_bottom_champion_id, enemy_utility_champion_id, side",True,sample_weight,True,True,
mlp_per_role_tuned,MLP Per-Role + Interactions HP Best,secondary_hp_tuned,missing_manifest,missing_manifest,0,,False,sample_weight,,False,model_config.json not found.
gbt_enriched,HistGBT + Archetypes,secondary_enriched_features,secondary_enriched_features,secondary_enriched_features,51,"ally_top_champion_id, ally_jungle_champion_id, ally_middle_champion_id, ally_bottom_champion_id, ally_utility_champion_id, enemy_top_champion_id, enemy_jungle_champion_id, enemy_middle_champion_id, enemy_bottom_champion_id, enemy_utility_champion_id, ally_top_summoner1_id, ally_top_summoner2_id, ally_jungle_summoner1_id, ally_jungle_summoner2_id, ally_middle_summoner1_id, ally_middle_summoner2_id, ally_bottom_summoner1_id, ally_bottom_summoner2_id, ally_utility_summoner1_id, ally_utility_summoner2_id, enemy_top_summoner1_id, enemy_top_summoner2_id, enemy_jungle_summoner1_id, enemy_jungle_summoner2_id, enemy_middle_summoner1_id, enemy_middle_summoner2_id, enemy_bottom_summoner1_id, enemy_bottom_summoner2_id, enemy_utility_summoner1_id, enemy_utility_summoner2_id, side, ally_top_archetype, ally_jungle_archetype, ally_middle_archetype, ally_bottom_archetype, ally_utility_archetype, enemy_top_archetype, enemy_jungle_archetype, enemy_middle_archetype, enemy_bottom_archetype, enemy_utility_archetype, ally_top_class, ally_jungle_class, ally_middle_class, ally_bottom_class, ally_utility_class, enemy_top_class, enemy_jungle_class, enemy_middle_class, enemy_bottom_class, enemy_utility_class",False,sample_weight,,True,Excluded from main table because it adds archetype/class features.
gbt_interactions,HistGBT + Pair TE,secondary_target_encoded_features,draft_10_champions_side,draft_10_champions_side_plus_smoothed_interactions,11,"ally_top_champion_id, ally_jungle_champion_id, ally_middle_champion_id, ally_bottom_champion_id, ally_utility_champion_id, enemy_top_champion_id, enemy_jungle_champion_id, enemy_middle_champion_id, enemy_bottom_champion_id, enemy_utility_champion_id, side",True,sample_weight,True,True,Excluded from main table because it adds target-encoded interaction features.
residual_interactions,Smoothed Support Mean + Residual Context GBT,secondary_residual_diagnostic,support_mean_plus_contextual_residual_interactions,support_mean_plus_contextual_residual_interactions,20,"ally_top_champion_id, ally_jungle_champion_id, ally_middle_champion_id, ally_bottom_champion_id, enemy_top_champion_id, enemy_jungle_champion_id, enemy_middle_champion_id, enemy_bottom_champion_id, enemy_utility_champion_id, side, resid_te_support_adc_synergy, resid_te_support_adc_synergy_log_count, resid_te_support_enemy_support_matchup, resid_te_support_enemy_support_matchup_log_count, resid_te_support_jungle_setup, resid_te_support_jungle_setup_log_count, resid_te_support_mid_payoff, resid_te_support_mid_payoff_log_count, resid_te_support_adc_enemy_support, resid_te_support_adc_enemy_support_log_count",False,sample_weight,True,True,Excluded from main table because it decomposes prediction into a support mean plus a residual context model.
