case_id,case_group,case_rank,score_band,match_id,team_id,side,patch,prediction,actual,signed_error,abs_error,ally_top_champion_name,ally_jungle_champion_name,ally_middle_champion_name,ally_bottom_champion_name,ally_utility_champion_name,enemy_top_champion_name,enemy_jungle_champion_name,enemy_middle_champion_name,enemy_bottom_champion_name,enemy_utility_champion_name,ally_support_expert_score,ally_support_expert_archetype,ally_support_expert_confidence,enemy_support_expert_score,enemy_support_expert_archetype,enemy_support_expert_confidence,ally_support_champion_mean_score,ally_support_champion_n,enemy_support_champion_mean_score,enemy_support_champion_n,valid_support_frames_v5,valid_coop_frames_v5,outside_ratio_v5,far_ratio_v5,xp_gap_v5,support_score_confidence_v5,score_reconstructed_delta,raw_score_reconstructed_delta,support_early_kills,support_early_deaths,support_early_assists,adc_early_kills,adc_early_deaths,adc_early_assists,bot_related_events_0_12,support_final_kda,adc_final_kda,evidence_tag,raw_missing
top_error_01_EUW1_7831489390_200,top_error,1,very_high,EUW1_7831489390,200,red,16.8,0.2085366053424323,1.0,-0.7914633946575678,0.7914633946575678,Sion,Talon,KogMaw,Smolder,Yuumi,Jayce,Shaco,Azir,Velkoz,Pyke,0.08,adc_enabler,0.95,0.92,roaming_assassin,0.95,0.14909535543748414,4689,0.4919837306692401,11462,5,5.0,1.0,1.0,1.0,0.8333333333333334,0.0,0.0,1,4,3,1,7,0,21,1/8/8,2/8/1,chaotic_early_game,False
top_error_02_EUW1_7706461344_100,top_error,2,very_high,EUW1_7706461344,100,blue,16.2,0.1739646687470375,0.9295642077597724,-0.7555995390127349,0.7555995390127349,KSante,Viego,Cassiopeia,Zeri,Yuumi,Camille,Graves,TwistedFate,Lucian,Sona,0.08,adc_enabler,0.95,0.22,scaling_enchanter,0.8,0.14909535543748414,4689,0.3335971472202456,11424,6,5.0,0.8333333333333334,1.0,0.9110294117647058,1.0,0.0,0.0,0,3,0,0,6,0,11,0/5/0,0/9/0,chaotic_early_game,False
top_error_03_EUW1_7708715292_200,top_error,3,very_high,EUW1_7708715292,200,red,16.2,0.3096420467140087,1.0,-0.6903579532859914,0.6903579532859914,Teemo,Diana,Yasuo,Caitlyn,Senna,Swain,Nidalee,Qiyana,Tristana,Blitzcrank,0.4,marksman_support,0.7,0.78,pick_roamer,0.85,0.3087440928364943,10154,0.4348205857701826,8649,4,4.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,0,6,2,1,1,2,14,2/12/18,11/4/8,chaotic_early_game,False
top_error_04_EUW1_7783266689_200,top_error,4,very_high,EUW1_7783266689,200,red,16.5,0.2629699526163075,0.9432054457287128,-0.6802354931124053,0.6802354931124053,Garen,Nidalee,Leblanc,Ashe,Senna,FiddleSticks,Briar,KogMaw,Twitch,Lulu,0.4,marksman_support,0.7,0.28,adc_enabler,0.85,0.3087440928364943,10154,0.3220609947644693,22250,6,5.0,0.8333333333333334,1.0,1.0,1.0,0.0,0.0,2,4,4,1,3,1,14,3/12/16,3/9/5,chaotic_early_game,False
top_error_05_EUW1_7714775914_200,top_error,5,very_high,EUW1_7714775914,200,red,16.2,0.30355502822562663,0.9707064374405748,-0.6671514092149482,0.6671514092149482,DrMundo,Kayn,Irelia,Kaisa,Senna,Cassiopeia,Naafiri,TwistedFate,Ezreal,Rell,0.4,marksman_support,0.7,0.82,engage_roamer,0.85,0.3087440928364943,10154,0.4373914077290479,12474,4,4.0,1.0,1.0,0.805669325285622,0.6666666666666666,0.0,0.0,0,3,7,4,2,2,15,3/9/16,9/6/7,chaotic_early_game,False
top_error_06_EUW1_7705744974_100,top_error,6,very_high,EUW1_7705744974,100,blue,16.2,0.3366410986010733,1.0,-0.6633589013989267,0.6633589013989267,Kled,FiddleSticks,Zed,Caitlyn,Karma,Volibear,Naafiri,Galio,Ashe,Lulu,0.42,lane_enchanter,0.7,0.28,adc_enabler,0.85,0.3872413347731952,27136,0.3220609947644693,22250,5,4.0,1.0,1.0,1.0,0.8333333333333334,0.0,0.0,0,3,6,1,3,1,13,0/9/22,5/11/3,chaotic_early_game,False
top_error_07_EUW1_7830670024_100,top_error,7,very_high,EUW1_7830670024,100,blue,16.8,0.3406474206862067,1.0,-0.6593525793137933,0.6593525793137933,Jayce,Shyvana,Ryze,Ashe,Sona,Sylas,Udyr,Yone,Jinx,Blitzcrank,0.22,scaling_enchanter,0.8,0.78,pick_roamer,0.85,0.3335971472202456,11424,0.4348205857701826,8649,7,5.0,1.0,1.0,1.0,1.0,0.0,0.0,2,4,4,1,4,0,16,3/8/9,2/6/3,chaotic_early_game,False
top_error_08_EUW1_7705182186_200,top_error,8,very_high,EUW1_7705182186,200,red,16.2,0.15837569749590863,0.8167022853786017,-0.658326587882693,0.658326587882693,Poppy,Diana,Fizz,Aphelios,Yuumi,Nasus,Elise,Ekko,Caitlyn,Velkoz,0.08,adc_enabler,0.95,0.28,lane_mage,0.7,0.14909535543748414,4689,0.33090794429730797,3327,6,6.0,0.6666666666666666,0.8333333333333334,0.8586626139817629,1.0,0.0,0.0,0,2,1,1,5,0,12,0/5/7,2/11/3,chaotic_early_game,False
top_error_09_EUW1_7716308181_100,top_error,9,very_high,EUW1_7716308181,100,blue,16.3,0.34218717476077987,1.0,-0.6578128252392201,0.6578128252392201,Ahri,XinZhao,Zoe,Twitch,Velkoz,Ornn,JarvanIV,Jayce,Mel,Nami,0.28,lane_mage,0.7,0.38,lane_enchanter,0.75,0.33090794429730797,3327,0.34617523496966535,35437,5,5.0,1.0,1.0,1.0,0.8333333333333334,0.0,0.0,4,3,1,1,0,0,11,11/5/9,5/2/7,clean_roam_like_candidate,False
top_error_10_EUW1_7708270762_200,top_error,10,very_high,EUW1_7708270762,200,red,16.2,0.3428767431544603,1.0,-0.6571232568455396,0.6571232568455396,Gwen,Nidalee,Quinn,Caitlyn,Lux,Sion,Ambessa,Akali,Jhin,Karma,0.32,lane_mage,0.75,0.42,lane_enchanter,0.7,0.356235730341071,3027,0.3872413347731952,27136,3,2.0,1.0,1.0,1.0,0.5,0.0,0.0,0,4,1,4,3,1,18,1/6/11,10/6/5,label_quality_caution,False
