error_rank,match_id,team_id,minute,event_type,monster_type,building_type,lane_type,killer,killer_relation,assists,ally_support_involved,ally_adc_involved,x,y,nearest_frame_minute,support_zone_v5_abs,adc_zone_v5_abs,dist_to_adc,out_bot_context_v5,far_from_adc_v5
1,EUW1_7831489390,200,5.189133333333333,TURRET_PLATE_DESTROYED,,,MID_LANE,,,,False,False,8955,8510,5.002633333333334,RED_BOT_JUNGLE,BOT_LANE_CORE,6798.048617066519,True,True
1,EUW1_7831489390,200,6.140016666666667,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Velkoz(BOTTOM,T100,pid4)",enemy_bottom,,False,False,13866,4505,6.003033333333334,RED_BOT_JUNGLE,BOT_LANE_CORE,3241.8557956824666,True,True
1,EUW1_7831489390,200,7.192616666666667,TURRET_PLATE_DESTROYED,,,BOT_LANE,,,,False,False,13866,4505,7.0033,RED_TOP_JUNGLE,BOT_LANE_CORE,6098.398560277936,True,True
1,EUW1_7831489390,200,7.77215,TURRET_PLATE_DESTROYED,,,MID_LANE,"Azir(MIDDLE,T100,pid3)",enemy_middle,,False,False,8955,8510,8.003466666666666,RED_BASE,BOT_LANE_CORE,10364.467473054272,False,False
1,EUW1_7831489390,200,8.271366666666667,TURRET_PLATE_DESTROYED,,,TOP_LANE,"Jayce(TOP,T100,pid1)",enemy_top,,False,False,4318,13875,8.003466666666666,RED_BASE,BOT_LANE_CORE,10364.467473054272,False,False
1,EUW1_7831489390,200,8.38735,TURRET_PLATE_DESTROYED,,,TOP_LANE,,,,False,False,4318,13875,8.003466666666666,RED_BASE,BOT_LANE_CORE,10364.467473054272,False,False
1,EUW1_7831489390,200,8.680166666666667,TURRET_PLATE_DESTROYED,,,MID_LANE,,,,False,False,5846,6396,9.0039,RED_BOT_JUNGLE,BOT_LANE_CORE,3822.9572323006714,True,True
1,EUW1_7831489390,200,9.652266666666666,TURRET_PLATE_DESTROYED,,,BOT_LANE,,,,False,False,13866,4505,10.00395,RED_TOP_JUNGLE,BOT_LANE_CORE,7044.767277916283,True,True
1,EUW1_7831489390,200,10.643783333333333,TURRET_PLATE_DESTROYED,,,MID_LANE,"KogMaw(MIDDLE,T200,pid8)",ally_middle,,False,False,5846,6396,11.00445,RED_BASE,BOT_LANE_CORE,4185.561133229331,False,False
1,EUW1_7831489390,200,10.989933333333333,ELITE_MONSTER_KILL,HORDE,,,"Shaco(JUNGLE,T100,pid2)",enemy_jungle,"Pyke(UTILITY,T100,pid5)",False,False,4766,10157,11.00445,RED_BASE,BOT_LANE_CORE,4185.561133229331,False,False
1,EUW1_7831489390,200,11.115216666666667,ELITE_MONSTER_KILL,HORDE,,,"Shaco(JUNGLE,T100,pid2)",enemy_jungle,"Pyke(UTILITY,T100,pid5)",False,False,4901,9992,11.00445,RED_BASE,BOT_LANE_CORE,4185.561133229331,False,False
1,EUW1_7831489390,200,11.1514,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Velkoz(BOTTOM,T100,pid4)",enemy_bottom,,False,False,13866,4505,11.00445,RED_BASE,BOT_LANE_CORE,4185.561133229331,False,False
1,EUW1_7831489390,200,11.153633333333334,ELITE_MONSTER_KILL,HORDE,,,"Shaco(JUNGLE,T100,pid2)",enemy_jungle,"Pyke(UTILITY,T100,pid5)",False,False,4609,10232,11.00445,RED_BASE,BOT_LANE_CORE,4185.561133229331,False,False
2,EUW1_7706461344,100,4.1691,TURRET_PLATE_DESTROYED,,,MID_LANE,"TwistedFate(MIDDLE,T200,pid8)",enemy_middle,,False,False,5846,6396,5.003633333333333,BOT_LANE_CORE,BOT_LANE_CORE,6936.849212718985,False,True
