error_rank,match_id,team_id,raw_available,side,patch,game_version,prediction,actual,abs_error,ally_top,ally_jungle,ally_middle,ally_support,ally_adc,enemy_top,enemy_jungle,enemy_middle,enemy_support,enemy_adc,outside_ratio_v5,far_ratio_v5,xp_gap_v5,valid_support_frames_v5,valid_coop_frames_v5,label_diagnostic,support_early_kills,support_early_deaths,support_early_assists,adc_early_kills,adc_early_deaths,adc_early_assists,support_label_window_kills,support_label_window_deaths,support_label_window_assists,adc_label_window_kills,adc_label_window_deaths,adc_label_window_assists,enemy_support_early_kda,enemy_adc_early_kda,bot_related_kill_events_0_12,support_related_kill_events_0_12,adc_related_kill_events_0_12,support_final_kda,adc_final_kda,support_final_vision,support_final_gold,adc_final_gold,support_final_win,qualitative_reading
1,EUW1_7831489390,200,True,red,16.8,16.8.766.8562,0.2085366053424323,1.0,0.7914633946575678,Sion,Talon,KogMaw,Yuumi,Smolder,Jayce,Shaco,Azir,Pyke,Velkoz,1.0,1.0,1.0,5,5.0,consistent_full_roam_label,1,4,3,1,7,0,0,2,2,0,4,0,1/4/9,9/0/2,21,8,8,1/8/8,2/8/1,38,5845,6912,False,modelo infrapredice un roaming extremo; la etiqueta parece consistente: fuera de bot y lejos del ADC casi toda la ventana; support muere 4 vez/veces antes de 12; ADC muere 7 vez/veces antes de 12; support participa en kills tempranas
2,EUW1_7706461344,100,True,blue,16.2,16.2.741.3171,0.1739646687470375,0.9295642077597724,0.7555995390127349,KSante,Viego,Cassiopeia,Yuumi,Zeri,Camille,Graves,TwistedFate,Sona,Lucian,0.8333333333333334,1.0,0.9110294117647058,6,5.0,mostly_outside_bot_context,0,3,0,0,6,0,0,3,0,0,3,0,2/0/8,6/0/3,11,3,6,0/5/0,0/9/0,3,3570,4006,False,modelo infrapredice un roaming extremo; la etiqueta viene sobre todo de presencia fuera de bot; support muere 3 vez/veces antes de 12; ADC muere 6 vez/veces antes de 12
3,EUW1_7708715292,200,True,red,16.2,16.2.741.3171,0.3096420467140087,1.0,0.6903579532859914,Teemo,Diana,Yasuo,Senna,Caitlyn,Swain,Nidalee,Qiyana,Blitzcrank,Tristana,1.0,1.0,1.0,4,4.0,consistent_full_roam_label,0,6,2,1,1,2,0,4,1,0,0,2,0/1/6,3/2/4,14,8,4,2/12/18,11/4/8,55,10158,18027,True,modelo infrapredice un roaming extremo; la etiqueta parece consistente: fuera de bot y lejos del ADC casi toda la ventana; support muere 6 vez/veces antes de 12; ADC muere 1 vez/veces antes de 12; support participa en kills tempranas
4,EUW1_7783266689,200,True,red,16.5,16.5.752.7101,0.2629699526163075,0.9432054457287128,0.6802354931124053,Garen,Nidalee,Leblanc,Senna,Ashe,FiddleSticks,Briar,KogMaw,Lulu,Twitch,0.8333333333333334,1.0,1.0,6,5.0,mostly_outside_bot_context,2,4,4,1,3,1,1,3,2,0,1,0,1/1/5,4/2/0,14,10,5,3/12/16,3/9/5,46,10287,11594,False,modelo infrapredice un roaming extremo; la etiqueta viene sobre todo de presencia fuera de bot; support muere 4 vez/veces antes de 12; ADC muere 3 vez/veces antes de 12; support participa en kills tempranas
5,EUW1_7714775914,200,True,red,16.2,16.2.741.3171,0.3035550282256266,0.9707064374405748,0.6671514092149482,DrMundo,Kayn,Irelia,Senna,Kaisa,Cassiopeia,Naafiri,TwistedFate,Rell,Ezreal,1.0,1.0,0.805669325285622,4,4.0,consistent_full_roam_label,0,3,7,4,2,2,0,2,6,4,1,1,1/1/4,2/2/1,15,10,8,3/9/16,9/6/7,116,11676,15464,False,modelo infrapredice un roaming extremo; la etiqueta parece consistente: fuera de bot y lejos del ADC casi toda la ventana; support muere 3 vez/veces antes de 12; ADC muere 2 vez/veces antes de 12; support participa en kills tempranas
6,EUW1_7705744974,100,True,blue,16.2,16.2.741.3171,0.3366410986010733,1.0,0.6633589013989267,Kled,FiddleSticks,Zed,Karma,Caitlyn,Volibear,Naafiri,Galio,Lulu,Ashe,1.0,1.0,1.0,5,4.0,consistent_full_roam_label,0,3,6,1,3,1,0,2,5,0,2,1,0/2/4,1/1/3,13,9,5,0/9/22,5/11/3,94,8621,12906,False,modelo infrapredice un roaming extremo; la etiqueta parece consistente: fuera de bot y lejos del ADC casi toda la ventana; support muere 3 vez/veces antes de 12; ADC muere 3 vez/veces antes de 12; support participa en kills tempranas
7,EUW1_7830670024,100,True,blue,16.8,16.8.766.8562,0.3406474206862067,1.0,0.6593525793137933,Jayce,Shyvana,Ryze,Sona,Ashe,Sylas,Udyr,Yone,Blitzcrank,Jinx,1.0,1.0,1.0,7,5.0,consistent_full_roam_label,2,4,4,1,4,0,2,2,3,1,3,0,0/1/4,5/0/1,16,10,5,3/8/9,2/6/3,58,6557,8789,False,modelo infrapredice un roaming extremo; la etiqueta parece consistente: fuera de bot y lejos del ADC casi toda la ventana; support muere 4 vez/veces antes de 12; ADC muere 4 vez/veces antes de 12; support participa en kills tempranas
8,EUW1_7705182186,200,True,red,16.2,16.2.741.3171,0.1583756974959086,0.8167022853786017,0.658326587882693,Poppy,Diana,Fizz,Yuumi,Aphelios,Nasus,Elise,Ekko,Velkoz,Caitlyn,0.6666666666666666,0.8333333333333334,0.8586626139817629,6,6.0,mostly_far_from_adc,0,2,1,1,5,0,0,2,1,1,3,0,2/0/8,6/1/3,12,3,6,0/5/7,2/11/3,25,4564,7175,False,la etiqueta viene sobre todo de distancia al ADC; support muere 2 vez/veces antes de 12; ADC muere 5 vez/veces antes de 12; support participa en kills tempranas
9,EUW1_7716308181,100,True,blue,16.3,16.3.742.6169,0.3421871747607798,1.0,0.6578128252392201,Ahri,XinZhao,Zoe,Velkoz,Twitch,Ornn,JarvanIV,Jayce,Nami,Mel,1.0,1.0,1.0,5,5.0,consistent_full_roam_label,4,3,1,1,0,0,3,2,1,1,0,0,1/3/2,1/1/0,11,8,1,11/5/9,5/2/7,71,9854,11857,True,modelo infrapredice un roaming extremo; la etiqueta parece consistente: fuera de bot y lejos del ADC casi toda la ventana; support muere 3 vez/veces antes de 12; support participa en kills tempranas
10,EUW1_7708270762,200,True,red,16.2,16.2.741.3171,0.3428767431544603,1.0,0.6571232568455396,Gwen,Nidalee,Quinn,Lux,Caitlyn,Sion,Ambessa,Akali,Karma,Jhin,1.0,1.0,1.0,3,2.0,low_valid_support_frames,0,4,1,4,3,1,0,3,0,3,1,1,5/3/7,4/1/5,18,5,8,1/6/11,10/6/5,122,10599,20117,False,modelo infrapredice un roaming extremo; la etiqueta parece consistente: fuera de bot y lejos del ADC casi toda la ventana; support muere 4 vez/veces antes de 12; ADC muere 3 vez/veces antes de 12; support participa en kills tempranas; requiere cautela por diagnostico de etiqueta: low_valid_support_frames
