task,window_a,window_b,relation,n_exact,same_exact,agreement_exact,n_non_ambiguous,same_non_ambiguous,agreement_non_ambiguous,n_extreme_pairs,extreme_flips,extreme_flip_rate
jungle,6,8,consecutive,15891,11235,0.7070039645082122,7392,7392,1.0,7392,0,0.0
jungle,8,10,consecutive,16119,11101,0.6886903654072833,6300,6295,0.9992063492063492,6300,5,0.0007936507936507937
jungle,10,12,consecutive,16120,12599,0.781575682382134,5929,5929,1.0,5929,0,0.0
jungle,12,14,consecutive,16120,12767,0.7919975186104219,5905,5905,1.0,5905,0,0.0
jungle,6,14,vs_reference,15891,8633,0.5432634824743565,5073,4637,0.9140547999211512,5073,436,0.0859452000788488
jungle,8,14,vs_reference,16119,9564,0.5933370556486134,5514,5329,0.9664490388103011,5514,185,0.03355096118969895
jungle,10,14,vs_reference,16120,11387,0.7063895781637717,5184,5183,0.9998070987654321,5184,1,0.00019290123456790122
jungle,12,14,vs_reference,16120,12767,0.7919975186104219,5905,5905,1.0,5905,0,0.0
support,6,8,consecutive,16025,10990,0.6858034321372855,7529,7529,1.0,7529,0,0.0
support,8,10,consecutive,16118,11318,0.7021963022707532,6946,6946,1.0,6946,0,0.0
support,10,12,consecutive,16120,12616,0.7826302729528536,6048,6048,1.0,6048,0,0.0
support,12,14,consecutive,16120,13241,0.8214019851116625,5866,5866,1.0,5866,0,0.0
support,6,14,vs_reference,16025,8827,0.5508268330733229,5109,4767,0.9330593071051086,5109,342,0.06694069289489137
support,8,14,vs_reference,16118,9722,0.6031765727757786,5718,5588,0.9772647778943686,5718,130,0.02273522210563134
support,10,14,vs_reference,16120,11423,0.7086228287841191,5490,5490,1.0,5490,0,0.0
support,12,14,vs_reference,16120,13241,0.8214019851116625,5866,5866,1.0,5866,0,0.0
team,6,8,consecutive,16120,9609,0.596091811414392,4784,4668,0.975752508361204,4784,116,0.024247491638795988
team,8,10,consecutive,16120,10201,0.6328163771712159,4256,4181,0.9823778195488722,4256,75,0.01762218045112782
team,10,12,consecutive,16120,12043,0.7470843672456575,5129,5109,0.996100604406317,5129,20,0.003899395593682979
team,12,14,consecutive,16120,12420,0.7704714640198511,4972,4961,0.9977876106194691,4972,11,0.0022123893805309734
team,6,14,vs_reference,16120,7983,0.49522332506203476,4093,3495,0.853896897141461,4093,598,0.14610310285853897
team,8,14,vs_reference,16120,9709,0.6022952853598015,3716,3547,0.9545209903121636,3716,169,0.045479009687836386
team,10,14,vs_reference,16120,10862,0.6738213399503722,4457,4403,0.9878842270585596,4457,54,0.012115772941440431
team,12,14,vs_reference,16120,12420,0.7704714640198511,4972,4961,0.9977876106194691,4972,11,0.0022123893805309734
