task,window_a,window_b,from_label,to_label,n,pct_of_pair
jungle,6,8,ambiguous,ambiguous,3843,0.24183500094393054
jungle,6,8,ambiguous,farm_oriented,1180,0.07425586810144107
jungle,6,8,ambiguous,map_presence,1226,0.07715058838336165
jungle,6,8,farm_oriented,ambiguous,1278,0.08042288087596752
jungle,6,8,farm_oriented,farm_oriented,4814,0.3029387703731672
jungle,6,8,map_presence,ambiguous,972,0.061166698131017556
jungle,6,8,map_presence,map_presence,2578,0.16223019319111448
jungle,8,10,ambiguous,ambiguous,4806,0.2981574539363484
jungle,8,10,ambiguous,farm_oriented,323,0.020038463924561076
jungle,8,10,ambiguous,map_presence,1034,0.06414789999379614
jungle,8,10,farm_oriented,ambiguous,2890,0.17929151932502016
jungle,8,10,farm_oriented,farm_oriented,3201,0.1985855201935604
jungle,8,10,farm_oriented,map_presence,5,0.0003101929400086854
jungle,8,10,map_presence,ambiguous,766,0.0475215584093306
jungle,8,10,map_presence,map_presence,3094,0.19194739127737453
jungle,10,12,ambiguous,ambiguous,6670,0.4137717121588089
jungle,10,12,ambiguous,farm_oriented,1095,0.06792803970223325
jungle,10,12,ambiguous,map_presence,697,0.04323821339950372
jungle,10,12,farm_oriented,ambiguous,557,0.03455334987593052
jungle,10,12,farm_oriented,farm_oriented,2968,0.18411910669975187
jungle,10,12,map_presence,ambiguous,1172,0.07270471464019851
jungle,10,12,map_presence,map_presence,2961,0.1836848635235732
jungle,12,14,ambiguous,ambiguous,6862,0.42568238213399506
jungle,12,14,ambiguous,farm_oriented,695,0.04311414392059553
jungle,12,14,ambiguous,map_presence,842,0.05223325062034739
jungle,12,14,farm_oriented,ambiguous,983,0.06098014888337469
jungle,12,14,farm_oriented,farm_oriented,3080,0.19106699751861042
jungle,12,14,map_presence,ambiguous,833,0.05167493796526055
jungle,12,14,map_presence,map_presence,2825,0.17524813895781638
support,6,8,ambiguous,ambiguous,3461,0.21597503900156007
support,6,8,ambiguous,lane_anchored,1873,0.1168798751950078
support,6,8,ambiguous,roamer,923,0.05759750390015601
support,6,8,lane_anchored,ambiguous,906,0.05653666146645866
support,6,8,lane_anchored,lane_anchored,3480,0.2171606864274571
support,6,8,roamer,ambiguous,1333,0.08318252730109205
support,6,8,roamer,roamer,4049,0.2526677067082683
support,8,10,ambiguous,ambiguous,4372,0.2712495346817223
support,8,10,ambiguous,lane_anchored,729,0.04522893659262936
support,8,10,ambiguous,roamer,658,0.040823923563717585
support,8,10,lane_anchored,ambiguous,1860,0.11539893287008314
support,8,10,lane_anchored,lane_anchored,3513,0.21795508127559252
support,8,10,roamer,ambiguous,1553,0.09635190470281672
support,8,10,roamer,roamer,3433,0.2129916863134384
support,10,12,ambiguous,ambiguous,6568,0.4074441687344913
support,10,12,ambiguous,lane_anchored,541,0.03356079404466501
support,10,12,ambiguous,roamer,678,0.04205955334987593
support,10,12,lane_anchored,ambiguous,1459,0.09050868486352358
support,10,12,lane_anchored,lane_anchored,2783,0.17264267990074442
support,10,12,roamer,ambiguous,826,0.051240694789081886
support,10,12,roamer,roamer,3265,0.20254342431761788
support,12,14,ambiguous,ambiguous,7375,0.4575062034739454
support,12,14,ambiguous,lane_anchored,800,0.04962779156327544
support,12,14,ambiguous,roamer,678,0.04205955334987593
support,12,14,lane_anchored,ambiguous,567,0.03517369727047146
support,12,14,lane_anchored,lane_anchored,2757,0.17102977667493796
support,12,14,roamer,ambiguous,834,0.05173697270471464
support,12,14,roamer,roamer,3109,0.19286600496277917
team,6,8,ambiguous,ambiguous,4941,0.3065136476426799
team,6,8,ambiguous,botside_oriented,1101,0.06830024813895781
team,6,8,ambiguous,topside_oriented,1071,0.06643920595533499
team,6,8,botside_oriented,ambiguous,2459,0.15254342431761786
team,6,8,botside_oriented,botside_oriented,2154,0.1336228287841191
team,6,8,botside_oriented,topside_oriented,116,0.007196029776674938
team,6,8,topside_oriented,ambiguous,1764,0.10942928039702234
team,6,8,topside_oriented,topside_oriented,2514,0.15595533498759306
team,8,10,ambiguous,ambiguous,6020,0.37344913151364767
team,8,10,ambiguous,botside_oriented,1704,0.10570719602977667
team,8,10,ambiguous,topside_oriented,1440,0.08933002481389578
team,8,10,botside_oriented,ambiguous,1218,0.07555831265508685
team,8,10,botside_oriented,botside_oriented,1964,0.12183622828784119
team,8,10,botside_oriented,topside_oriented,73,0.004528535980148883
team,8,10,topside_oriented,ambiguous,1482,0.09193548387096774
team,8,10,topside_oriented,botside_oriented,2,0.00012406947890818859
team,8,10,topside_oriented,topside_oriented,2217,0.13753101736972706
team,10,12,ambiguous,ambiguous,6934,0.4301488833746898
team,10,12,ambiguous,botside_oriented,964,0.0598014888337469
team,10,12,ambiguous,topside_oriented,822,0.05099255583126551
team,10,12,botside_oriented,ambiguous,1120,0.06947890818858561
team,10,12,botside_oriented,botside_oriented,2530,0.15694789081885857
team,10,12,botside_oriented,topside_oriented,20,0.0012406947890818859
team,10,12,topside_oriented,ambiguous,1151,0.07140198511166253
team,10,12,topside_oriented,topside_oriented,2579,0.1599875930521092
team,12,14,ambiguous,ambiguous,7459,0.4627171215880893
team,12,14,ambiguous,botside_oriented,828,0.051364764267990075
team,12,14,ambiguous,topside_oriented,918,0.05694789081885856
team,12,14,botside_oriented,ambiguous,982,0.06091811414392059
team,12,14,botside_oriented,botside_oriented,2501,0.15514888337468982
team,12,14,botside_oriented,topside_oriented,11,0.0006823821339950372
team,12,14,topside_oriented,ambiguous,961,0.05961538461538462
team,12,14,topside_oriented,topside_oriented,2460,0.15260545905707196
