task,window_a,window_b,from_label,to_label,n,pct_of_pair
jungle,6,8,ambiguous,ambiguous,3843,0.24183500094393054
jungle,6,8,ambiguous,farm_oriented,1180,0.07425586810144107
jungle,6,8,ambiguous,map_presence,1226,0.07715058838336165
jungle,6,8,farm_oriented,ambiguous,1278,0.08042288087596752
jungle,6,8,farm_oriented,farm_oriented,4814,0.3029387703731672
jungle,6,8,map_presence,ambiguous,972,0.061166698131017556
jungle,6,8,map_presence,map_presence,2578,0.16223019319111448
jungle,8,10,ambiguous,ambiguous,4806,0.2981574539363484
jungle,8,10,ambiguous,farm_oriented,323,0.020038463924561076
jungle,8,10,ambiguous,map_presence,1034,0.06414789999379614
jungle,8,10,farm_oriented,ambiguous,2890,0.17929151932502016
jungle,8,10,farm_oriented,farm_oriented,3201,0.1985855201935604
jungle,8,10,farm_oriented,map_presence,5,0.0003101929400086854
jungle,8,10,map_presence,ambiguous,766,0.0475215584093306
jungle,8,10,map_presence,map_presence,3094,0.19194739127737453
jungle,10,12,ambiguous,ambiguous,6670,0.4137717121588089
jungle,10,12,ambiguous,farm_oriented,1095,0.06792803970223325
jungle,10,12,ambiguous,map_presence,697,0.04323821339950372
jungle,10,12,farm_oriented,ambiguous,557,0.03455334987593052
jungle,10,12,farm_oriented,farm_oriented,2968,0.18411910669975187
jungle,10,12,map_presence,ambiguous,1172,0.07270471464019851
jungle,10,12,map_presence,map_presence,2961,0.1836848635235732
jungle,12,14,ambiguous,ambiguous,6862,0.42568238213399506
jungle,12,14,ambiguous,farm_oriented,695,0.04311414392059553
jungle,12,14,ambiguous,map_presence,842,0.05223325062034739
jungle,12,14,farm_oriented,ambiguous,983,0.06098014888337469
jungle,12,14,farm_oriented,farm_oriented,3080,0.19106699751861042
jungle,12,14,map_presence,ambiguous,833,0.05167493796526055
jungle,12,14,map_presence,map_presence,2825,0.17524813895781638
