matchId,teamId,win,meta_gameDurationMin,meta_gameVersion,meta_queueId,X_TOP_AllyChampId,X_TOP_EnemyChampId,X_TOP_SummonerA,X_TOP_SummonerB,X_TOP_SS_CLEANSE,X_TOP_SS_EXHAUST,X_TOP_SS_FLASH,X_TOP_SS_GHOST,X_TOP_SS_HEAL,X_TOP_SS_SMITE,X_TOP_SS_TELEPORT,X_TOP_SS_CLARITY,X_TOP_SS_IGNITE,X_TOP_SS_BARRIER,X_TOP_SS_SNOWBALL,X_TOP_Keystone,Post_TOP_GoldDiff_5,Post_TOP_XpDiff_5,Post_TOP_CsDiff_5,Post_TOP_GoldDiff_10,Post_TOP_XpDiff_10,Post_TOP_CsDiff_10,Post_TOP_GoldDiff_15,Post_TOP_XpDiff_15,Post_TOP_CsDiff_15,Post_TOP_GoldDiff_20,Post_TOP_XpDiff_20,Post_TOP_CsDiff_20,Post_TOP_EarlyTakedowns_15,Post_TOP_LaneCsBefore10,Post_TOP_DmgTotalPM,Post_TOP_DmgTurretPM,Post_TOP_DmgObjPM,Post_TOP_VisionScorePM,Post_TOP_KillParticipation,X_JUNGLE_AllyChampId,X_JUNGLE_EnemyChampId,X_JUNGLE_SummonerA,X_JUNGLE_SummonerB,X_JUNGLE_SS_CLEANSE,X_JUNGLE_SS_EXHAUST,X_JUNGLE_SS_FLASH,X_JUNGLE_SS_GHOST,X_JUNGLE_SS_HEAL,X_JUNGLE_SS_SMITE,X_JUNGLE_SS_TELEPORT,X_JUNGLE_SS_CLARITY,X_JUNGLE_SS_IGNITE,X_JUNGLE_SS_BARRIER,X_JUNGLE_SS_SNOWBALL,X_JUNGLE_Keystone,Post_JUNGLE_GoldDiff_5,Post_JUNGLE_XpDiff_5,Post_JUNGLE_CsDiff_5,Post_JUNGLE_GoldDiff_10,Post_JUNGLE_XpDiff_10,Post_JUNGLE_CsDiff_10,Post_JUNGLE_GoldDiff_15,Post_JUNGLE_XpDiff_15,Post_JUNGLE_CsDiff_15,Post_JUNGLE_GoldDiff_20,Post_JUNGLE_XpDiff_20,Post_JUNGLE_CsDiff_20,Post_JUNGLE_EarlyTakedowns_15,Post_JUNGLE_JgCsBefore10,Post_JUNGLE_EnemyJgInvades,Post_JUNGLE_DmgTotalPM,Post_JUNGLE_DmgTurretPM,Post_JUNGLE_DmgObjPM,Post_JUNGLE_VisionScorePM,Post_JUNGLE_KillParticipation,X_MIDDLE_AllyChampId,X_MIDDLE_EnemyChampId,X_MIDDLE_SummonerA,X_MIDDLE_SummonerB,X_MIDDLE_SS_CLEANSE,X_MIDDLE_SS_EXHAUST,X_MIDDLE_SS_FLASH,X_MIDDLE_SS_GHOST,X_MIDDLE_SS_HEAL,X_MIDDLE_SS_SMITE,X_MIDDLE_SS_TELEPORT,X_MIDDLE_SS_CLARITY,X_MIDDLE_SS_IGNITE,X_MIDDLE_SS_BARRIER,X_MIDDLE_SS_SNOWBALL,X_MIDDLE_Keystone,Post_MIDDLE_GoldDiff_5,Post_MIDDLE_XpDiff_5,Post_MIDDLE_CsDiff_5,Post_MIDDLE_GoldDiff_10,Post_MIDDLE_XpDiff_10,Post_MIDDLE_CsDiff_10,Post_MIDDLE_GoldDiff_15,Post_MIDDLE_XpDiff_15,Post_MIDDLE_CsDiff_15,Post_MIDDLE_GoldDiff_20,Post_MIDDLE_XpDiff_20,Post_MIDDLE_CsDiff_20,Post_MIDDLE_EarlyTakedowns_15,Post_MIDDLE_LaneCsBefore10,Post_MIDDLE_DmgTotalPM,Post_MIDDLE_DmgTurretPM,Post_MIDDLE_DmgObjPM,Post_MIDDLE_VisionScorePM,Post_MIDDLE_KillParticipation,X_BOTTOM_AllyChampId,X_BOTTOM_EnemyChampId,X_BOTTOM_SummonerA,X_BOTTOM_SummonerB,X_BOTTOM_SS_CLEANSE,X_BOTTOM_SS_EXHAUST,X_BOTTOM_SS_FLASH,X_BOTTOM_SS_GHOST,X_BOTTOM_SS_HEAL,X_BOTTOM_SS_SMITE,X_BOTTOM_SS_TELEPORT,X_BOTTOM_SS_CLARITY,X_BOTTOM_SS_IGNITE,X_BOTTOM_SS_BARRIER,X_BOTTOM_SS_SNOWBALL,X_BOTTOM_Keystone,Post_BOTTOM_GoldDiff_5,Post_BOTTOM_XpDiff_5,Post_BOTTOM_CsDiff_5,Post_BOTTOM_GoldDiff_10,Post_BOTTOM_XpDiff_10,Post_BOTTOM_CsDiff_10,Post_BOTTOM_GoldDiff_15,Post_BOTTOM_XpDiff_15,Post_BOTTOM_CsDiff_15,Post_BOTTOM_GoldDiff_20,Post_BOTTOM_XpDiff_20,Post_BOTTOM_CsDiff_20,Post_BOTTOM_EarlyTakedowns_15,Post_BOTTOM_LaneCsBefore10,Post_BOTTOM_DmgTotalPM,Post_BOTTOM_DmgTurretPM,Post_BOTTOM_DmgObjPM,Post_BOTTOM_VisionScorePM,Post_BOTTOM_KillParticipation,X_UTILITY_AllyChampId,X_UTILITY_EnemyChampId,X_UTILITY_SummonerA,X_UTILITY_SummonerB,X_UTILITY_SS_CLEANSE,X_UTILITY_SS_EXHAUST,X_UTILITY_SS_FLASH,X_UTILITY_SS_GHOST,X_UTILITY_SS_HEAL,X_UTILITY_SS_SMITE,X_UTILITY_SS_TELEPORT,X_UTILITY_SS_CLARITY,X_UTILITY_SS_IGNITE,X_UTILITY_SS_BARRIER,X_UTILITY_SS_SNOWBALL,X_UTILITY_Keystone,Post_UTILITY_GoldDiff_5,Post_UTILITY_XpDiff_5,Post_UTILITY_CsDiff_5,Post_UTILITY_GoldDiff_10,Post_UTILITY_XpDiff_10,Post_UTILITY_CsDiff_10,Post_UTILITY_GoldDiff_15,Post_UTILITY_XpDiff_15,Post_UTILITY_CsDiff_15,Post_UTILITY_GoldDiff_20,Post_UTILITY_XpDiff_20,Post_UTILITY_CsDiff_20,Post_UTILITY_EarlyTakedowns_15,Post_UTILITY_LaneCsBefore10,Post_UTILITY_DmgTotalPM,Post_UTILITY_DmgTurretPM,Post_UTILITY_DmgObjPM,Post_UTILITY_VisionScorePM,Post_UTILITY_KillParticipation,Feat_Team_Spread_5,Feat_Team_GroupedRatio_5,Feat_Team_MaxPairDist_5,Feat_Team_Spread_10,Feat_Team_GroupedRatio_10,Feat_Team_MaxPairDist_10,Feat_Team_Spread_15,Feat_Team_GroupedRatio_15,Feat_Team_MaxPairDist_15,Feat_Team_Spread_20,Feat_Team_GroupedRatio_20,Feat_Team_MaxPairDist_20,Feat_Jungle_LanePresenceTop_2_14,Feat_Jungle_LanePresenceMid_2_14,Feat_Jungle_LanePresenceBot_2_14,Label_JungleFocusLane_2_14,Feat_Jungle_TopsidePresence_2_14,Feat_Jungle_BotsidePresence_2_14,Label_JungleMapSideFocus_2_14,Feat_FirstDragonTime_s,Feat_FirstGrubsTime_s,Feat_FirstHeraldTime_s,Feat_FirstTowerTime_s,Feat_Dragons_0_14,Feat_Grubs_0_14,Feat_Heralds_0_14,Feat_Objectives_0_14,Feat_Kills_0_14,Feat_Kills_14_25,Feat_Fights_0_14,Feat_PickRatio_0_14,Feat_TeamfightRatio_0_14,Feat_AvgKillsPerFight_0_14,Feat_AvgUniqParticipants_0_14,Feat_FirstFightTime_0_14_s,Feat_FirstFightType_0_14,Feat_Fights_14_25,Feat_PickRatio_14_25,Feat_TeamfightRatio_14_25,Feat_AvgKillsPerFight_14_25,Feat_AvgUniqParticipants_14_25,Feat_Fights_0_25,Feat_PickRatio_0_25,Feat_TeamfightRatio_0_25,Feat_AvgKillsPerFight_0_25,Feat_AvgUniqParticipants_0_25,Feat_TowerKills_TOP_0_14,Feat_TowerKills_TOP_14_25,Feat_Plates_TOP_0_14,Feat_TowerKills_MID_0_14,Feat_TowerKills_MID_14_25,Feat_Plates_MID_0_14,Feat_TowerKills_BOT_0_14,Feat_TowerKills_BOT_14_25,Feat_Plates_BOT_0_14,Label_FirstMajorObjective_0_14,Label_ObjectivePriority_0_14,Label_SkirmishStyle_0_25,Label_FirstFightType_0_14,Label_TowerPlan_14_25,Label_LanePressureBias_0_14,Label_Tempo_0_20,Label_Grouping_15,Label_Snowball_0_14,Post_Team_Dragons,Post_Team_Barons,Post_Team_Towers,Post_Team_Inhibitors,Post_Team_RiftHeralds,Post_Team_VoidGrubs,Post_Team_ElderDragons
EUW1_7738347386,100,0,26.566666666666666,16.3.745.7600,420,31,14,4,12,0,0,1,0,0,0,1,0,0,0,0,9923,-669,-590,-19,-1506,-1355,-32,-1864,-1482,-31,-2158,-2725,-25,1,65,885.9598494353827,140.5897114178168,356.23588456712673,0.7151819322459222,0.273,126,233,4,11,0,0,1,0,0,1,0,0,0,0,0,8369,785,146,4,497,218,13,1863,198,12,1291,-278,17,9,68,2,745.1819322459222,300.15056461731496,974.228356336261,0.6398996235884568,0.394,4,61,4,12,0,0,1,0,0,0,1,0,0,0,0,8360,-665,-639,-23,-1277,-1634,-50,-1515,-1023,-45,-3080,-1963,-50,3,55,562.2459222082811,62.973651191969886,62.973651191969886,0.6022584692597239,0.333,222,51,4,21,0,0,1,0,0,0,0,0,0,1,0,8008,-263,-117,-12,504,236,-14,1290,724,-18,1180,-1094,-54,12,71,1505.7967377666248,234.65495608531995,455.23212045169385,0.33877038895859474,0.727,412,60,4,7,0,0,1,0,1,0,0,0,0,0,0,8439,-93,162,3,-230,159,2,-745,764,1,-1922,13,-5,10,11,238.94604767879548,16.599749058971142,25.821831869510664,2.8607277289836888,0.606,4418.232397229271,0.2,11737.033696807724,4242.019967451051,0.0,10553.951345349285,3276.8495895772257,0.2,9627.216524001109,2715.092277571577,0.6,9167.074233363663,0.07692307692307693,0.46153846153846156,0.46153846153846156,NEUTRAL,0.07692307692307693,0.46153846153846156,BOTSIDE,,495.267,1031.912,1202.949,0,1,0,1,18,12,8,0.125,0.75,3.75,6.5,101.543,PICK,6,0.16666666666666666,0.8333333333333334,4.166666666666667,7.666666666666667,14,0.14285714285714285,0.7857142857142857,3.9285714285714284,7.0,0,1,3,0,1,0,0,1,3,GRUBS,GRUBS_HERALD,TEAMFIGHT,PICK,SPLIT_1_3_1,NEUTRAL,MID,SPLIT,NO,0,0,3,0,1,1,0
EUW1_7738347386,200,1,26.566666666666666,16.3.745.7600,420,14,31,4,12,0,0,1,0,0,0,1,0,0,0,0,8437,669,590,19,1506,1355,32,1864,1482,31,2158,2725,25,7,97,730.3513174404015,326.2735257214555,405.92220828105394,0.903387703889586,0.488,233,126,4,11,0,0,1,0,0,1,0,0,0,0,0,8005,-785,-146,-4,-497,-218,-13,-1863,-198,-12,-1291,278,-17,7,57,7,995.9473023839398,0.0,973.7013801756588,0.41405269761606023,0.488,61,4,4,12,0,0,1,0,0,0,1,0,0,0,0,8229,665,639,23,1277,1634,50,1515,1023,45,3080,1963,50,4,105,1128.4818067754077,438.18067754077794,465.2446675031368,1.5432873274780428,0.537,51,222,1,4,1,0,1,0,0,0,0,0,0,0,0,8008,263,117,12,-504,-236,14,-1290,-724,18,-1180,1094,54,4,85,1483.3249686323713,563.4880803011292,1020.8281053952321,0.9410288582183187,0.537,60,412,4,14,0,0,1,0,0,0,0,0,1,0,0,8112,93,-162,-3,230,-159,-2,745,-764,-1,1922,-13,5,5,9,678.6323713927227,77.1267252195734,288.55708908406524,3.3877038895859473,0.415,4684.680919301843,0.2,12978.807533822202,5448.722398879183,0.0,12205.680849506101,1693.4422234331716,0.8,4696.739826730878,3759.8319787587775,0.2,11327.872042003299,0.38461538461538464,0.46153846153846156,0.15384615384615385,NEUTRAL,0.38461538461538464,0.15384615384615385,TOPSIDE,1019.252,519.85,,698.524,0,2,0,2,15,21,10,0.3,0.6,3.2,5.7,162.031,PICK,7,0.14285714285714285,0.8571428571428571,4.285714285714286,8.0,17,0.23529411764705882,0.7058823529411765,3.6470588235294117,6.647058823529412,0,2,1,1,0,4,1,1,5,GRUBS,GRUBS_HERALD,TEAMFIGHT,PICK,STANDARD,NEUTRAL,FAST,GROUP,YES,2,1,9,1,0,2,0
EUW1_7738292072,100,0,24.416666666666668,16.3.745.7600,420,27,14,6,12,0,0,0,1,0,0,1,0,0,0,0,8230,190,58,4,-99,-119,1,-1396,-1840,-6,-2270,-2209,-20,3,99,568.4641638225256,152.80546075085323,216.08191126279863,0.9010238907849829,0.6,121,163,4,11,0,0,1,0,0,1,0,0,0,0,0,8369,472,324,4,1100,836,11,1320,645,4,492,-392,-9,4,85,7,495.1535836177474,0.0,814.8941979522184,1.10580204778157,0.7,134,39,4,6,0,0,1,1,0,0,0,0,0,0,0,8369,76,31,2,278,122,-3,286,643,11,-1004,793,7,1,89,461.2013651877133,180.32764505119454,235.0443686006826,0.9829351535836177,0.3,42,236,4,21,0,0,1,0,0,0,0,0,0,1,0,8010,-497,-94,3,-948,-488,-15,-1385,-378,-16,-1315,-651,-24,0,83,532.9556313993173,0.0,0.0,1.10580204778157,0.4,40,267,4,7,0,0,1,0,1,0,0,0,0,0,0,8214,-296,-275,4,-482,-544,0,-411,-807,3,-450,-1171,3,0,10,282.96245733788396,0.0,6.30716723549488,2.416382252559727,0.4,5025.206894840316,0.0,14059.335154977993,4503.540019945963,0.4,13902.878442970003,3051.2959185380505,0.4,11590.478376667636,3045.611018774204,0.4,7650.080064940497,0.15384615384615385,0.5384615384615384,0.3076923076923077,MID,0.15384615384615385,0.3076923076923077,BOTSIDE,676.589,561.034,,,1,1,0,2,4,6,3,0.6666666666666666,0.3333333333333333,1.6666666666666667,4.0,221.082,PICK,3,0.0,0.6666666666666666,4.0,7.666666666666667,6,0.3333333333333333,0.5,2.8333333333333335,5.833333333333333,0,0,0,0,0,2,0,0,0,GRUBS,MIXED,MIXED,PICK,STANDARD,MID,MID,SPLIT,YES,1,0,1,0,0,1,0
EUW1_7738292072,200,1,24.416666666666668,16.3.745.7600,420,14,27,4,12,0,0,1,0,0,0,1,0,0,0,0,8437,-190,-58,-4,99,119,-1,1396,1840,6,2270,2209,20,3,99,727.4539249146758,245.52901023890783,288.40955631399316,1.1467576791808873,0.421,163,121,4,11,0,0,1,0,0,1,0,0,0,0,0,8369,-472,-324,-4,-1100,-836,-11,-1320,-645,-4,-492,392,9,2,75,8,624.8191126279863,0.0,1436.1092150170648,1.3924914675767917,0.632,39,134,4,14,0,0,1,0,0,0,0,0,1,0,0,8005,-76,-31,-2,-278,-122,3,-286,-643,-11,1004,-793,-7,1,92,240.69624573378837,418.1569965870307,709.2286689419794,0.8191126279863481,0.158,236,42,4,21,0,0,1,0,0,0,0,0,0,1,0,8005,497,94,-3,948,488,15,1385,378,16,1315,651,24,2,98,918.8805460750852,211.45392491467575,536.1911262798635,0.8600682593856654,0.684,267,40,4,7,0,0,1,0,1,0,0,0,0,0,0,8214,296,275,-4,482,544,0,411,807,-3,450,1171,-3,2,10,362.21160409556313,154.52559726962457,172.66894197952217,3.31740614334471,0.632,4025.3551673488096,0.2,12605.593084024249,4590.704846899431,0.4,14440.66764384528,5577.467120135052,0.2,14026.79097299165,3611.676766670834,0.4,9845.432697449107,0.46153846153846156,0.15384615384615385,0.38461538461538464,NEUTRAL,0.46153846153846156,0.38461538461538464,NEUTRAL,348.213,826.464,944.897,962.95,1,2,0,3,5,14,4,0.5,0.25,1.75,4.0,251.175,SKIRMISH,7,0.2857142857142857,0.5714285714285714,2.7142857142857144,6.142857142857143,11,0.36363636363636365,0.45454545454545453,2.3636363636363638,5.363636363636363,0,2,1,0,2,0,0,2,1,DRAGON,GRUBS_HERALD,MIXED,NONE,SPLIT_1_3_1,NEUTRAL,MID,SPLIT,YES,3,1,6,0,1,2,0
EUW1_7738094735,100,1,31.633333333333333,16.3.745.7600,420,126,31,4,12,0,0,1,0,0,0,1,0,0,0,0,8230,112,-18,3,551,11,9,2848,2837,29,1878,1299,15,3,105,1362.9926238145417,420.8851422550053,539.4625922023182,1.1380400421496313,0.361,106,234,4,11,0,0,1,0,0,1,0,0,0,0,0,8008,65,193,-1,772,-3,0,835,-216,1,1408,-3,10,5,56,18,775.6059009483668,152.27608008429925,1834.0147523709168,0.9483667017913593,0.5,246,103,4,14,0,0,1,0,0,0,0,0,1,0,0,8010,62,-211,-15,79,287,1,-217,236,-3,-20,575,-2,5,86,911.6649104320337,250.1159114857745,478.8619599578504,0.7270811380400422,0.306,110,145,4,6,0,0,1,1,0,0,0,0,0,0,0,8229,260,70,14,-1197,-475,18,206,-407,20,611,-362,28,8,74,1532.6238145416228,409.28345626975766,803.0769230769231,1.2328767123287672,0.667,43,12,4,7,0,0,1,0,1,0,0,0,0,0,0,8214,204,-103,-5,-113,-316,-3,562,100,-2,643,237,-6,9,14,586.027397260274,86.7123287671233,136.12223393045312,3.9199157007376186,0.694,4242.480227937887,0.2,14486.519699361887,3855.717433441353,0.0,11156.637217369758,3973.970140347752,0.4,12796.04724123821,3306.5341743144745,0.6,11272.658825671962,0.15384615384615385,0.15384615384615385,0.6923076923076923,BOT,0.15384615384615385,0.6923076923076923,BOTSIDE,659.079,,951.395,678.981,1,0,0,1,14,14,7,0.14285714285714285,0.7142857142857143,3.142857142857143,5.857142857142857,146.482,TEAMFIGHT,6,0.16666666666666666,0.6666666666666666,3.1666666666666665,6.5,13,0.15384615384615385,0.6923076923076923,3.1538461538461537,6.153846153846154,0,2,3,0,3,2,1,1,4,DRAGON,DRAGONS,TEAMFIGHT,TEAMFIGHT,STANDARD,NEUTRAL,FAST,SPLIT,YES,4,1,9,1,1,0,0
EUW1_7738094735,200,0,31.633333333333333,16.3.745.7600,420,31,126,4,12,0,0,1,0,0,0,1,0,0,0,0,9923,-112,18,-3,-551,-11,-9,-2848,-2837,-29,-1878,-1299,-15,0,94,538.2929399367756,120.97997892518441,191.854583772392,1.01159114857745,0.24,234,106,4,11,0,0,1,0,0,1,0,0,0,0,0,8010,-65,-193,1,-772,3,0,-835,216,-1,-1408,3,-10,4,56,3,290.4214963119073,0.0,251.47523709167544,0.7586933614330875,0.4,103,246,4,12,0,0,1,0,0,0,1,0,0,0,0,8112,-62,211,15,-79,-287,-1,217,-236,3,20,-575,2,5,85,851.4436248682824,214.868282402529,214.868282402529,1.0432033719704952,0.4,145,110,4,21,0,0,1,0,0,0,0,0,0,1,0,8008,-260,-70,-14,1197,475,-18,-206,407,-20,-611,362,-28,8,56,886.7544783983141,121.86512118018967,138.08219178082192,0.6322444678609063,0.64,12,43,4,7,0,0,1,0,1,0,0,0,0,0,0,8230,-204,103,5,113,316,3,-562,-100,2,-643,-237,6,9,17,203.5194942044257,14.63645943097998,14.63645943097998,3.6037934668071654,0.68,4926.300462149598,0.0,14149.080888877552,4593.841330681278,0.4,14322.625911473076,2617.3378019989673,0.4,6413.790221078329,3148.7096435967887,0.2,9042.209464505897,0.23076923076923078,0.46153846153846156,0.3076923076923077,MID,0.23076923076923078,0.3076923076923077,NEUTRAL,,571.422,,1114.108,0,3,0,3,13,7,8,0.25,0.625,3.0,5.625,146.482,TEAMFIGHT,5,0.4,0.6,2.8,6.2,13,0.3076923076923077,0.6153846153846154,2.923076923076923,5.846153846153846,0,0,0,0,0,1,0,1,3,GRUBS,GRUBS_HERALD,TEAMFIGHT,TEAMFIGHT,SPLIT_1_3_1,BOT,FAST,SPLIT,YES,0,0,2,0,0,3,0
EUW1_7738029630,100,0,26.466666666666665,16.3.745.7600,420,2,27,4,6,0,0,1,1,0,0,0,0,0,0,0,8010,273,0,10,901,473,28,1372,822,29,1849,1730,43,1,100,617.4181360201512,349.7229219143577,349.7229219143577,0.7178841309823678,0.357,799,904,4,11,0,0,1,0,0,1,0,0,0,0,0,8010,31,51,0,173,317,0,-735,436,6,-1428,712,6,4,78,1,537.7707808564232,0.0,325.12594458438286,1.0957178841309825,0.5,13,910,4,6,0,0,1,1,0,0,0,0,0,0,0,8230,163,-122,-1,-22,13,-9,-787,-414,-15,-1559,-463,-1,5,89,568.375314861461,76.36020151133502,76.36020151133502,1.057934508816121,0.357,51,42,4,21,0,0,1,0,0,0,0,0,0,1,0,8021,-321,124,-11,-431,-161,-17,-148,-968,-19,-1485,-1898,-35,4,80,730.5415617128464,202.14105793450884,202.14105793450884,1.1335012594458438,0.571,80,267,4,14,0,0,1,0,0,0,0,0,1,0,0,8010,351,-95,0,84,-594,3,-100,-1086,2,-881,-2001,0,4,9,367.8589420654912,0.0,7.5944584382871545,3.513853904282116,0.357,5229.342730157994,0.0,14294.775898907965,4337.342041903141,0.0,12259.919779509164,4448.304194650818,0.0,10958.42954076906,4181.195950974438,0.2,12621.517381044167,0.23076923076923078,0.46153846153846156,0.3076923076923077,MID,0.23076923076923078,0.3076923076923077,NEUTRAL,,551.389,,1205.858,0,3,0,3,6,5,4,0.25,0.75,3.25,6.5,232.863,PICK,5,0.2,0.6,2.8,6.8,9,0.2222222222222222,0.6666666666666666,3.0,6.666666666666667,0,1,2,0,0,0,0,1,2,GRUBS,GRUBS_HERALD,TEAMFIGHT,PICK,SPLIT_1_3_1,NEUTRAL,MID,SPLIT,YES,0,0,2,0,0,3,0
EUW1_7738029630,200,1,26.466666666666665,16.3.745.7600,420,27,2,4,6,0,0,1,1,0,0,0,0,0,0,0,8230,-273,0,-10,-901,-473,-28,-1372,-822,-29,-1849,-1730,-43,4,72,434.13098236775824,45.75566750629723,69.93702770780857,0.7934508816120908,0.231,904,799,4,11,0,0,1,0,0,1,0,0,0,0,0,8010,-31,-51,0,-173,-317,0,735,-436,-6,1428,-712,-6,9,76,26,1094.0176322418138,190.84382871536525,1514.3954659949623,0.7178841309823678,0.731,910,13,4,12,0,0,1,0,0,0,1,0,0,0,0,8229,-163,122,1,22,-13,9,787,414,15,1559,463,1,7,98,939.030226700252,279.7103274559194,442.82115869017633,1.2090680100755669,0.577,42,51,1,4,1,0,1,0,0,0,0,0,0,0,0,8010,321,-124,11,431,161,17,148,968,19,1485,1898,35,5,97,773.0478589420655,337.367758186398,701.8261964735517,1.4357682619647356,0.462,267,80,4,7,0,0,1,0,1,0,0,0,0,0,0,8214,-351,95,0,-84,594,-3,100,1086,-2,881,2001,0,6,6,344.8866498740554,66.19647355163728,145.8060453400504,3.8539042821158693,0.577,3859.559019346737,0.2,11094.110013876732,4897.4062526353855,0.2,14493.465079131352,3044.775881084129,0.4,9564.400922169669,4905.1447310268695,0.2,13024.556038498971,0.23076923076923078,0.3076923076923077,0.46153846153846156,BOT,0.23076923076923078,0.46153846153846156,BOTSIDE,528.112,,982.977,909.49,1,0,0,1,9,13,3,0.0,1.0,4.0,7.666666666666667,379.236,TEAMFIGHT,7,0.5714285714285714,0.42857142857142855,2.2857142857142856,5.857142857142857,10,0.4,0.6,2.8,6.4,0,0,0,0,1,3,0,3,0,DRAGON,DRAGONS,TEAMFIGHT,TEAMFIGHT,SPLIT_1_3_1,MID,MID,SPLIT,NO,3,1,5,1,1,0,0
EUW1_7737980918,100,1,15.566666666666666,16.3.745.7600,420,58,2,4,14,0,0,1,0,0,0,0,0,1,0,0,8010,393,326,12,-361,-29,-16,-541,-454,-32,-455,-385,-34,3,68,645.4175588865096,0.0,0.0,0.32119914346895073,0.222,254,5,4,11,0,0,1,0,0,1,0,0,0,0,0,8010,276,169,0,1078,581,6,2574,1518,3,3024,1796,7,11,78,1,689.8715203426125,0.0,1303.7473233404712,0.7066381156316917,0.667,3,245,4,12,0,0,1,0,0,0,1,0,0,0,0,8230,258,278,18,565,519,25,1471,899,38,1550,1071,40,5,84,649.7216274089936,321.77730192719486,321.77730192719486,0.3854389721627409,0.278,42,163,4,21,0,0,1,0,0,0,0,0,0,1,0,8010,767,90,15,636,-326,25,1384,-454,25,1400,-423,26,6,94,575.524625267666,270.7066381156317,284.64668094218416,0.8351177730192719,0.333,267,517,4,7,0,0,1,0,1,0,0,0,0,0,0,8214,631,480,-4,749,1162,2,347,1033,1,347,941,1,11,12,408.62955032119913,35.65310492505353,91.9271948608137,2.3768736616702357,0.611,4028.5697330429175,0.4,12905.398715266414,3864.469198790074,0.2,13265.983114718638,3605.495536002202,0.6,13843.606538760048,5066.419484525249,0.2,13549.645382813529,0.15384615384615385,0.5384615384615384,0.3076923076923077,MID,0.15384615384615385,0.3076923076923077,BOTSIDE,387.868,587.461,,766.037,2,3,0,5,14,4,8,0.125,0.625,2.25,5.75,224.375,TEAMFIGHT,2,0.5,0.5,2.5,4.5,10,0.2,0.6,2.3,5.5,0,0,0,0,0,2,1,0,4,DRAGON,GRUBS_HERALD,TEAMFIGHT,TEAMFIGHT,STANDARD,BOT,FAST,MIXED,YES,2,0,1,0,0,3,0
EUW1_7737980918,200,0,15.566666666666666,16.3.745.7600,420,2,58,3,6,0,1,0,1,0,0,0,0,0,0,0,8010,-393,-326,-12,361,29,16,541,454,32,455,385,34,3,84,678.6295503211992,100.66381156316916,100.66381156316916,0.3854389721627409,0.375,5,254,4,11,0,0,1,0,0,1,0,0,0,0,0,8010,-276,-169,0,-1078,-581,-6,-2574,-1518,-3,-3024,-1796,-7,2,65,4,281.1777301927195,0.0,123.40471092077088,1.0278372591006424,0.25,245,3,4,14,0,0,1,0,0,0,0,0,1,0,0,9923,-258,-278,-18,-565,-519,-25,-1471,-899,-38,-1550,-1071,-40,3,59,513.083511777302,68.15845824411134,68.15845824411134,0.3854389721627409,0.375,163,42,4,6,0,0,1,1,0,0,0,0,0,0,0,8128,-767,-90,-15,-636,326,-25,-1384,454,-25,-1400,423,-26,2,69,535.4389721627409,193.61884368308353,193.61884368308353,0.44967880085653106,0.25,517,267,4,14,0,0,1,0,0,0,0,0,1,0,0,8112,-631,-480,4,-749,-1162,-2,-347,-1033,-1,-347,-941,-1,5,10,513.7259100642399,0.0,0.0,1.9271948608137046,0.625,5281.133633211274,0.2,14462.435825268163,3954.3341689962203,0.4,14445.506221659385,3457.79903769927,0.2,11704.201724167266,4953.390925279176,0.0,12914.795739770723,0.15384615384615385,0.7692307692307693,0.07692307692307693,MID,0.15384615384615385,0.07692307692307693,NEUTRAL,,,,,0,0,0,0,7,1,6,0.3333333333333333,0.5,2.1666666666666665,4.833333333333333,169.688,PICK,1,0.0,1.0,4.0,6.0,7,0.2857142857142857,0.5714285714285714,2.4285714285714284,5.0,0,0,0,0,0,2,0,0,1,NONE,NONE,TEAMFIGHT,PICK,STANDARD,NEUTRAL,SLOW,SPLIT,NO,0,0,0,0,0,0,0
